ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_FQ43Y05,2010-10-07,2011-10-06,NOT STATED,3,2010-10-07,1,,,,,,Car Classic,0
ID_6RBVO0O,2010-07-09,2011-07-08,Male,41,2010-07-09,1,Saloon,,TOYOTA,Nnewi,Anambra,Car Classic,0
ID_H0RX4KU,2010-07-12,2011-07-11,Male,40,2010-07-12,1,Saloon,,TOYOTA,,,CarSafe,1
ID_U0VDW43,2010-08-16,2011-08-15,Female,41,2010-08-16,1,Saloon,Gold,Lexus,,,Car Classic,0
ID_5UWNAJ9,2010-06-13,2011-06-12,Male,44,2010-06-13,2,Saloon,Black,TOYOTA,Sapele,Delta,Car Classic,0
ID_P6MN2PP,2010-05-24,2011-05-01,Male,42,2010-05-24,1,Saloon,Grey,TOYOTA,Alimosho,Lagos,Car Classic,0
ID_WWO56HH,2010-02-21,2011-02-20,Entity,20,2010-02-21,1,Saloon,White,TOYOTA,Ikorodu,Lagos,Car Classic,0
ID_N6P2GCT,2010-03-23,2011-03-22,Male,66,2010-03-23,1,JEEP,,Honda,Ibadan North,Ibadan-North,Car Classic,0
ID_O5A00OQ,2010-05-28,2011-05-27,Joint Gender,43,2010-05-28,1,,Grey,Hyundai,Warri Central,Warri-Central,Car Classic,0
ID_WNMJGPH,2010-07-01,2011-06-27,Male,51,2010-07-01,1,Saloon,White,Honda,,,Car Plus,0
ID_MJLBTZ4,2010-02-12,2011-02-11,Male,40,2010-02-12,1,Saloon,Blue,TOYOTA,,,Car Classic,0
ID_YKXO06V,2010-11-05,2011-11-04,Female,35,2010-11-05,1,,,,,,Car Classic,0
ID_SPQG19R,2010-01-18,2011-01-17,Male,51,2010-01-18,1,Saloon,,Mitsubishi,,,CarSafe,0
ID_6VKAKXC,2010-10-31,2011-10-29,Male,30,2010-10-31,1,,,,Uyo,Akwa-Ibom,Car Classic,0
ID_DJ581SH,2010-01-14,2011-01-13,Male,38,2010-01-14,1,,Red,Hyundai,Victoria Island,Lagos,Car Classic,0
ID_5X991I0,2010-10-29,2011-10-28,NOT STATED,20,2010-10-29,1,Saloon,,Ford,,,CarSafe,0
ID_ETI56ND,2010-03-07,2011-03-06,Male,39,2010-03-07,1,Saloon,,TOYOTA,,,Car Classic,1
ID_SOJH3BC,2010-12-27,2011-12-26,Male,50,2010-12-27,1,Saloon,,Nissan,Ikeja,Lagos,CarSafe,0
ID_HNCX0NP,2010-12-31,2011-12-30,Male,48,2010-12-31,1,Saloon,,TOYOTA,,,CarSafe,0
ID_Y2UZ2B1,2010-03-26,2011-03-25,Female,31,2010-03-26,1,JEEP,,TOYOTA,,,Car Classic,0
ID_II6WX41,2010-04-30,2011-04-29,Male,85,2010-04-30,1,JEEP,Red,Lexus,Victoria Island,Lagos,Car Classic,0
ID_7FM1B77,2010-01-31,2011-01-30,Male,40,2010-01-31,1,Saloon,,Kia,,,CarSafe,0
ID_YIV7EFD,2010-04-16,2011-04-15,Male,36,2010-04-16,1,Saloon,Grey,TOYOTA,OGBA,Lagos,Car Classic,0
ID_OHINRZI,2010-11-17,2011-05-16,Male,29,2010-11-17,1,Saloon,,TOYOTA,,,Car Classic,0
ID_Q1B3YBY,2010-02-06,2011-02-05,Female,62,2010-02-06,1,Saloon,Gold,TOYOTA,,,Car Classic,0
ID_4WOCN4I,2010-04-06,2011-04-05,Male,75,2010-04-06,3,JEEP,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_YVCUA1B,2010-09-13,2011-09-12,Female,41,2010-09-13,1,,,,,,Car Classic,0
ID_LOG23B8,2010-08-27,2011-08-26,Female,52,2010-08-27,1,Saloon,,Nissan,,,CarSafe,0
ID_29UJFZE,2010-04-26,2011-04-25,Male,43,2010-04-26,1,Saloon,,Honda,,,CarSafe,0
ID_K2B4YRS,2010-04-18,2011-04-17,Female,46,2010-04-18,1,Saloon,,Hyundai,,,CarSafe,0
ID_DPSZ9F4,2010-03-27,2011-03-26,,120,2010-03-27,1,,Black,Kia,Victoria Island,Lagos,Customized Motor,0
ID_NRI5C75,2010-04-01,2011-03-31,Female,46,2010-04-01,1,JEEP,Blue,Mercedes,,,Car Classic,0
ID_399QBCG,2010-12-17,2011-12-16,Male,20,2010-12-17,1,Saloon,,Honda,,,CarSafe,0
ID_L10QIM7,2010-11-23,2011-11-22,Female,44,2010-11-23,2,,,Lexus,,,Car Classic,0
ID_WRQG0MC,2010-10-11,2011-10-10,Male,34,2010-10-11,1,,,,,,Car Classic,0
ID_QREGAYK,2010-06-03,2011-06-02,Male,1,2010-06-03,1,Saloon,,TOYOTA,,,Car Classic,0
ID_3AQHWXK,2010-10-22,2011-01-20,Female,38,2010-10-22,1,Saloon,Green,TOYOTA,,,Car Classic,0
ID_OK87J8Y,2010-03-26,2011-03-25,Female,120,2010-03-26,2,,Black,TOYOTA,Victoria Island,Lagos,CVTP,1
ID_6X7R92I,2010-04-01,2011-03-31,Female,30,2010-04-01,1,Saloon,Blue,TOYOTA,,,Car Classic,0
ID_9G3HK59,2010-04-03,2011-04-02,Male,28,2010-04-03,1,Saloon,White,TOYOTA,,,Car Classic,1
ID_LIRY17S,2010-03-21,2011-03-20,Female,50,2010-03-21,1,Saloon,,Hyundai,Ikeja,Lagos,Car Classic,0
ID_POD0GPR,2010-02-08,2011-02-07,Female,37,2010-02-08,1,Saloon,Black,TOYOTA,Eti-Osa,Eti-Osa,Customized Motor,0
ID_VHPG3XG,2010-07-05,2011-07-04,Female,53,2010-07-05,1,Mini Van,Black,Honda,,,Car Classic,0
ID_5YCRBD7,2010-10-28,2011-10-27,Male,30,2010-10-28,1,,,,,,CarSafe,0
ID_H2JYFHR,2010-07-30,2011-07-29,Male,28,2010-07-30,1,Saloon,,TOYOTA,,,Car Plus,1
ID_QEDTJWC,2010-02-08,2011-02-07,Female,36,2010-02-08,1,Saloon,Green,TOYOTA,Shagamu,Ogun,Car Classic,0
ID_98404E3,2010-04-29,2011-04-28,,120,2010-04-29,1,Saloon,Grey,TOYOTA,,,Car Classic,0
ID_CNLNFCU,2010-02-27,2011-02-27,Female,36,2010-02-27,1,Saloon,Wine,Honda,,,Car Classic,0
ID_9LFGBVI,2010-04-04,2011-04-03,Male,30,2010-04-04,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_8Y8RC6B,2010-04-08,2011-04-06,Male,30,2010-04-08,1,Saloon,,TOYOTA,,,Car Plus,0
ID_M0T2TNA,2010-03-12,2011-03-10,Male,38,2010-03-12,1,Saloon,,TOYOTA,Central,Benue,Car Classic,0
ID_6R0ACNA,2010-05-10,2011-05-09,Joint Gender,56,2010-05-10,1,JEEP,Ash,Hyundai,,,Car Classic,0
ID_FTT3EKX,2010-11-14,2011-01-04,SEX,38,2010-11-14,1,,,,,,Car Classic,0
ID_FIIL8NQ,2010-03-13,2011-03-12,Female,34,2010-03-13,1,,,Kia,Abuja Municipal,Abuja-Municipal,Car Classic,0
ID_10FJB2M,2010-10-23,2011-10-22,Male,43,2010-10-23,2,,As Attached,TOYOTA,Victoria Island,Lagos,Car Classic,1
ID_T8X5T62,2010-08-16,2011-08-15,Male,40,2010-08-16,1,,,,,,CarSafe,0
ID_7233GK8,2010-08-12,2011-08-11,Male,35,2010-08-12,1,Saloon,Black,TOYOTA,,,Car Classic,1
ID_XSGM9WP,2010-11-29,2011-11-27,Male,35,2010-11-29,1,Saloon,Black,TOYOTA,,,Car Classic,0
ID_UDU0MFT,2010-03-28,2011-03-27,Male,56,2010-03-28,1,Saloon,,Honda,,,CarSafe,0
ID_86RUPGP,2010-09-30,2011-04-01,Female,42,2010-09-30,2,Saloon,Black,TOYOTA,,,Car Classic,0
